epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4523,0.75699,1.03593,1.32328,0.94283,0.905,0.95486,0.79708,0.69038,0.68913,1.33533,0.000651163,0.000651163,0.000651163
2,44.9958,0.61185,0.63885,1.19623,0.84895,0.84304,0.90602,0.63089,0.87933,0.9074,1.44303,0.00129174,0.00129174,0.00129174
3,58.6286,0.60067,0.60092,1.16711,0.3119,0.165,0.1385,0.05462,2.89311,3.15851,2.94925,0.00190591,0.00190591,0.00190591
4,72.4272,0.62933,0.61538,1.18737,0.62975,0.68035,0.72106,0.50045,1.12355,1.25513,1.7563,0.0018812,0.0018812,0.0018812
5,86.092,0.59612,0.57493,1.1558,0.65692,0.19,0.3157,0.17134,1.7412,3.37698,2.27219,0.0018416,0.0018416,0.0018416
6,100.316,0.56451,0.54598,1.14674,0.8791,0.87,0.92844,0.74515,0.65795,0.73477,1.33295,0.001802,0.001802,0.001802
7,114.59,0.5389,0.5034,1.12183,0.93588,0.94871,0.97801,0.81088,0.61432,0.6229,1.32617,0.0017624,0.0017624,0.0017624
8,128.454,0.53363,0.48681,1.11854,0.65538,0.595,0.60924,0.26773,1.98847,1.59869,3.33003,0.0017228,0.0017228,0.0017228
9,142.22,0.5207,0.45373,1.10918,0.90642,0.87,0.94672,0.79924,0.54266,0.58409,1.20892,0.0016832,0.0016832,0.0016832
10,156.364,0.5224,0.45677,1.11381,0.96362,0.92,0.98253,0.86498,0.45432,0.44314,1.10121,0.0016436,0.0016436,0.0016436
11,171.01,0.48379,0.4359,1.0766,0.95878,0.93029,0.9713,0.83848,0.47484,0.45104,1.12621,0.001604,0.001604,0.001604
12,185.2,0.49693,0.43559,1.09249,0.84935,0.92,0.91909,0.72692,0.66825,0.5914,1.28886,0.0015644,0.0015644,0.0015644
13,199.156,0.48889,0.41644,1.08906,0.90137,0.89,0.94295,0.82876,0.52867,0.56297,1.16219,0.0015248,0.0015248,0.0015248
14,212.72,0.48957,0.42485,1.08551,0.88653,0.905,0.95375,0.84376,0.48995,0.51696,1.14969,0.0014852,0.0014852,0.0014852
15,226.679,0.48525,0.40478,1.08124,0.96917,0.94307,0.98632,0.88738,0.40769,0.42332,1.0587,0.0014456,0.0014456,0.0014456
16,241.019,0.46663,0.38592,1.07859,0.96521,0.97109,0.98829,0.85535,0.50663,0.39432,1.14166,0.001406,0.001406,0.001406
17,254.735,0.45149,0.37986,1.04818,0.95964,0.95112,0.97746,0.86869,0.51206,0.47621,1.11439,0.0013664,0.0013664,0.0013664
18,268.594,0.44137,0.36539,1.06264,0.98287,0.98,0.99259,0.8874,0.44331,0.36056,1.07125,0.0013268,0.0013268,0.0013268
19,282.598,0.43822,0.35541,1.04236,0.98011,0.96,0.98958,0.90009,0.40731,0.34918,1.06337,0.0012872,0.0012872,0.0012872
20,296.452,0.42198,0.37736,1.03253,0.94139,0.9637,0.98704,0.88744,0.41112,0.38377,1.05115,0.0012476,0.0012476,0.0012476
21,310.091,0.42141,0.35987,1.04679,0.97535,0.98921,0.99186,0.92268,0.36454,0.32408,0.99696,0.001208,0.001208,0.001208
22,323.943,0.42597,0.34305,1.04085,0.98923,0.97,0.99368,0.91807,0.36856,0.31176,1.01374,0.0011684,0.0011684,0.0011684
23,337.794,0.40862,0.34015,1.0329,0.97432,0.995,0.99363,0.93713,0.34291,0.28356,0.98725,0.0011288,0.0011288,0.0011288
24,351.778,0.42043,0.32383,1.03898,0.96988,0.98,0.98965,0.90934,0.38837,0.30665,1.03744,0.0010892,0.0010892,0.0010892
25,365.428,0.39921,0.32396,1.02974,0.97607,0.955,0.99017,0.91832,0.33118,0.32598,0.97534,0.0010496,0.0010496,0.0010496
26,379.128,0.40732,0.32215,1.04744,0.96521,0.95,0.98873,0.91703,0.36174,0.32661,0.98755,0.00101,0.00101,0.00101
27,392.823,0.38386,0.30543,1.02293,0.9833,0.98,0.99053,0.92183,0.34222,0.28484,0.9668,0.0009704,0.0009704,0.0009704
28,406.882,0.37173,0.29738,1.01395,0.97976,0.96812,0.985,0.93846,0.29157,0.27969,0.92983,0.0009308,0.0009308,0.0009308
29,420.534,0.37986,0.31778,1.01727,0.9603,0.975,0.99061,0.93956,0.33732,0.28598,0.9572,0.0008912,0.0008912,0.0008912
30,434.733,0.371,0.30185,1.00961,0.96975,0.99,0.99139,0.93006,0.33157,0.31469,0.96036,0.0008516,0.0008516,0.0008516
31,448.556,0.37907,0.30456,1.02072,0.99436,0.995,0.99385,0.94479,0.28443,0.24551,0.92949,0.000812,0.000812,0.000812
32,462.386,0.35979,0.2922,1.00371,0.97997,0.97864,0.99316,0.9454,0.30023,0.25316,0.94485,0.0007724,0.0007724,0.0007724
33,476.387,0.36552,0.2863,1.01918,0.98841,0.985,0.99352,0.94199,0.28724,0.24542,0.92255,0.0007328,0.0007328,0.0007328
34,490.4,0.33888,0.27177,0.99287,0.98948,0.98,0.99268,0.94409,0.26879,0.2373,0.91083,0.0006932,0.0006932,0.0006932
