epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,504.543,0.32992,0.27173,0.98709,0.98852,0.99,0.99192,0.94131,0.27727,0.22423,0.91577,0.0006536,0.0006536,0.0006536
36,518.659,0.32367,0.2549,0.9922,0.99381,0.985,0.99394,0.94915,0.26565,0.21999,0.90642,0.000614,0.000614,0.000614
37,532.403,0.34882,0.26899,1.00537,0.99428,0.985,0.99465,0.94691,0.27102,0.19963,0.91218,0.0005744,0.0005744,0.0005744
38,545.822,0.34017,0.27138,1.00556,0.99363,0.98,0.9938,0.95154,0.26451,0.21867,0.90765,0.0005348,0.0005348,0.0005348
39,559.355,0.32225,0.25752,0.99307,0.98995,0.98453,0.99415,0.94484,0.2881,0.23865,0.92231,0.0004952,0.0004952,0.0004952
40,573.526,0.33204,0.25669,1.00013,0.99277,0.985,0.98313,0.95009,0.25967,0.21584,0.90723,0.0004556,0.0004556,0.0004556
41,589.164,0.22392,0.23399,0.92149,0.99446,0.995,0.9938,0.94952,0.28538,0.22449,0.91407,0.000416,0.000416,0.000416
42,602.391,0.22445,0.20437,0.90273,0.99478,0.99,0.99067,0.9486,0.26242,0.21728,0.8928,0.0003764,0.0003764,0.0003764
43,615.621,0.20667,0.19173,0.90448,0.98976,0.995,0.9941,0.9453,0.26569,0.23267,0.90641,0.0003368,0.0003368,0.0003368
44,628.469,0.20572,0.18627,0.89001,0.99497,0.98966,0.99289,0.95451,0.23462,0.19542,0.88378,0.0002972,0.0002972,0.0002972
45,641.665,0.20665,0.18541,0.89448,0.99404,0.975,0.98953,0.95213,0.23788,0.20276,0.87221,0.0002576,0.0002576,0.0002576
46,654.768,0.18431,0.17359,0.88158,0.99,0.98961,0.99394,0.9597,0.23145,0.18931,0.87443,0.000218,0.000218,0.000218
47,667.996,0.17706,0.15756,0.88371,0.98511,0.995,0.99409,0.95922,0.21764,0.18039,0.86642,0.0001784,0.0001784,0.0001784
48,681.027,0.17764,0.16284,0.88086,0.98968,0.99,0.99414,0.95718,0.2195,0.17675,0.87211,0.0001388,0.0001388,0.0001388
49,694.244,0.16743,0.15601,0.86436,0.98391,1,0.99399,0.96164,0.21156,0.17736,0.86876,9.92e-05,9.92e-05,9.92e-05
50,707.423,0.16877,0.15105,0.87966,0.9852,0.99859,0.99414,0.96584,0.20881,0.1735,0.86585,5.96e-05,5.96e-05,5.96e-05
